Date : 2022-11-01 00:49:06
Directory : c:\Users\gasan\.vscode\flutter projects\database_trial
Total : 62 files,  1800 codes, 979 comments, 248 blanks, all 3027 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         52 |      1,735 |        979 |        242 |      2,956 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_images\details_images.dart                         | Dart     |          7 |          0 |          0 |          7 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_images\details_slider.dart                         | Dart     |         53 |          2 |          4 |         59 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_screen.dart                                        | Dart     |         87 |          5 |          1 |         93 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\appbar\son_elanlar.dart                                              | Dart     |        -23 |          0 |          0 |        -23 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\elanlarList\elanlar_list.dart                                        | Dart     |         29 |          8 |          5 |         42 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\evler.dart                                                           | Dart     |          1 |         -6 |          1 |         -4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\son elanar\neticeler-widget.dart                                     | Dart     |          9 |          3 |          0 |         12 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\navigation\navigation.dart                                                 | Dart     |          7 |          1 |          1 |          9 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\reegister\registration_page.dart                                   | Dart     |         -3 |          1 |          0 |         -2 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\reegister\splash_register_screnn.dart                              | Dart     |         44 |          3 |          7 |         54 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\appBarSecilmisler.dart                                         | Dart     |          8 |          0 |          0 |          8 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar.dart                                                  | Dart     |         -1 |          1 |          1 |          1 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\papkalar_single.dart                                  | Dart     |         22 |          0 |          2 |         24 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\qovluq_yarat_dialog.dart                              | Dart     |         96 |          9 |         11 |        116 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmis_elanlar.dart                                          | Dart     |         36 |          0 |          2 |         38 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmisler_birlesme.dart                                      | Dart     |          6 |          7 |          2 |         15 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secure_storage\qovluqlar_secure_storage.dart                               | Dart     |         -2 |          0 |          0 |         -2 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secure_storage\secure_storage.dart                                         | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\linux\flutter\generated_plugin_registrant.cc                                      | C++      |          4 |          0 |          0 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\macos\Flutter\GeneratedPluginRegistrant.swift                                     | Swift    |          4 |          0 |          0 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\pubspec.yaml                                                                      | YAML     |          6 |          0 |          0 |          6 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\windows\flutter\generated_plugin_registrant.cc                                    | C++      |          6 |          0 |          0 |          6 |
| Total                                                                                                                                    |          |      1,800 |        979 |        248 |      3,027 |
+------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
