"filename", "language", "YAML", "C++", "JSON", "Markdown", "HTML", "Dart", "Swift", "XML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 85, 7, 171
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\cupertino_tab_scaffold.dart", "Dart", 0, 0, 0, 0, 0, 351, 0, 0, 0, 0, 129, 24, 504
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_images\details_images.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 10, 4, 92
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_images\details_slider.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 4, 59
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_screen.dart", "Dart", 0, 0, 0, 0, 0, 597, 0, 0, 0, 0, 16, 26, 639
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\appbar\son_elanlar.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 4, 54
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\elanlarList\elanlar_list.dart", "Dart", 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 47, 17, 284
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\evler.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 4, 31
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\son elanar\neticeler-widget.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 3, 48
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\navigation\navigation.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 4, 23
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\daxil_ol\code_screen.dart", "Dart", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 12, 4, 140
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\daxil_ol\daxil_ol.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 8, 5, 115
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\daxil_ol\hesab_screen.dart", "Dart", 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 3, 6, 274
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\reegister\registration_page.dart", "Dart", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 2, 4, 77
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\reegister\splash_register_screnn.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 7, 54
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\appBarSecilmisler.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 4, 65
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 2, 6, 86
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\papkalar_single.dart", "Dart", 0, 0, 0, 0, 0, 307, 0, 0, 0, 0, 54, 16, 377
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\qovluq_yarat_dialog.dart", "Dart", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 9, 11, 116
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmis_elanlar.dart", "Dart", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 41, 13, 247
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmisler_birlesme.dart", "Dart", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 8, 6, 130
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secure_storage\qovluqlar_secure_storage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 19
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secure_storage\secure_storage.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 26, 21, 112
"c:\Users\gasan\.vscode\flutter projects\database_trial\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\gasan\.vscode\flutter projects\database_trial\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\gasan\.vscode\flutter projects\database_trial\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\gasan\.vscode\flutter projects\database_trial\linux\my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\gasan\.vscode\flutter projects\database_trial\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\gasan\.vscode\flutter projects\database_trial\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 4, 25
"c:\Users\gasan\.vscode\flutter projects\database_trial\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\gasan\.vscode\flutter projects\database_trial\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\gasan\.vscode\flutter projects\database_trial\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\gasan\.vscode\flutter projects\database_trial\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\gasan\.vscode\flutter projects\database_trial\pubspec.yaml", "YAML", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 16, 116
"c:\Users\gasan\.vscode\flutter projects\database_trial\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\gasan\.vscode\flutter projects\database_trial\web\index.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 16, 6, 59
"c:\Users\gasan\.vscode\flutter projects\database_trial\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\runner\flutter_window.cpp", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\runner\utils.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\runner\win32_window.cpp", "C++", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 50, 516, 248, 13, 37, 6097, 50, 596, 89, 8, 1774, 854, 10332
