"filename", "language", "YAML", "C++", "Swift", "Dart", "Gradle", "XML", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bas_sehife\satilan_son_elanlar.dart", "Dart", 0, 0, 0, 363, 0, 0, 94, 13, 470
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\cupertino_tab_scaffold.dart", "Dart", 0, 0, 0, 29, 0, 0, 115, 5, 149
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_images\details_images.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_images\details_slider.dart", "Dart", 0, 0, 0, 53, 0, 0, 2, 4, 59
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_screen.dart", "Dart", 0, 0, 0, 87, 0, 0, 5, 1, 93
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\appbar\son_elanlar.dart", "Dart", 0, 0, 0, -23, 0, 0, 0, 0, -23
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\elanlarList\elanlar_list.dart", "Dart", 0, 0, 0, 29, 0, 0, 8, 5, 42
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\evler.dart", "Dart", 0, 0, 0, 1, 0, 0, -6, 1, -4
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\son elanar\neticeler-widget.dart", "Dart", 0, 0, 0, 9, 0, 0, 3, 0, 12
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\navigation\navigation.dart", "Dart", 0, 0, 0, 7, 0, 0, 1, 1, 9
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\reegister\registration_page.dart", "Dart", 0, 0, 0, -3, 0, 0, 1, 0, -2
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\reegister\splash_register_screnn.dart", "Dart", 0, 0, 0, 44, 0, 0, 3, 7, 54
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\appBarSecilmisler.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar.dart", "Dart", 0, 0, 0, -1, 0, 0, 1, 1, 1
